MONTH,YEAR,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JUN,1926,370,675.2,559.3,48.1,55.3,72.4,686.3,26.3,13.9,18.7,103.7,20.1,18.4,23.9,33.9,55.7,563.9,306.1,392,85.9,85,361.1,65.5,71.7,7.2,83,9.9,89.6,580.8,38.7,74.7,34.8,31.8,21.9,4,15.9
JUL,1926,195.3,978.7,576.5,451.5,374.4,191.4,976.4,327.2,216.1,365.5,579.3,406.1,190,349.6,185.8,466.5,885.2,1203.6,303.9,230.6,126.3,477.6,123,296.5,189,87.9,250.4,234.3,853.8,73.8,227.3,475.3,330.6,268.3,95.6,282.3
AUG,1926,523.7,445.6,354.7,276,555.5,173.3,850.3,551.4,342.6,259.8,431.3,471,257.4,422.9,245.1,391.2,536,1149.6,118.2,258,254.1,441.7,138.4,565.3,228.4,92.3,212.3,174.2,396.4,70.5,205.1,400.7,420,429,179.4,312.4
SEP,1926,719.3,286.9,189.2,211.6,330.5,162.8,258.7,538.7,202.3,225.2,243.7,359.1,45.5,127.9,109.2,309.6,322.7,432.9,97.2,147.7,147.6,287.3,161.7,288.9,54.1,147.9,396.6,168.3,331.8,120.2,70.5,133.3,109.9,143.5,113.6,168.2
OCT,1926,443.8,311.5,193.7,17.6,63.4,76.7,143.6,135.9,0.2,26.8,78.9,0.1,0.6,4.2,0.3,44.6,216.7,39.2,83.4,8.1,0,155.6,22.1,88.1,0.1,80.6,1.7,89.7,102.8,151.5,41,10.2,38.7,12.8,0,22.2
NOV,1926,148.4,18.6,6.4,1.8,0.2,0.5,4,1.2,0,0.5,0.9,0.1,2.4,25.1,2.5,2.9,88.8,1.1,119.3,8.3,11.2,36.4,0.8,0,1.3,43.6,0,7.6,0.2,119.2,0,22,1.3,0.2,0,1.3
DEC,1926,560.7,49.3,33.6,8.7,3.3,0,0.1,0.9,0.2,1.5,9.1,0,0.1,14.3,34.1,21,16.2,0,13.8,2.2,1.8,47.1,0,2.6,4.4,9,0,1.2,9.9,26.1,0,2,0.6,1.5,0.3,0.4
JAN,1927,3,48.3,33.8,24.2,11.7,14.1,0,8.4,0,6.4,31.6,0,0.2,17.5,84.6,27.9,18.8,0,108.2,0,0,41.4,0,3,0.7,2.9,0,0.1,21,18,9.6,13.7,0.7,0,0,0
FEB,1927,17.5,208.5,60.5,36.4,57.9,8.4,0,18.7,9.4,21.3,37.4,4.9,34.1,132.5,117.3,99,35.3,0.2,14.7,1,3.2,103.5,1.4,27.2,39.8,1.9,8.8,2.5,33.9,21.6,11,121.8,10,1.7,7.7,23
MAR,1927,17.8,88.1,66,31.9,24.1,18.5,0.6,44.4,0.5,15.5,9.1,0,14.8,48.2,80.8,31.6,49.6,0.2,40.7,0.9,10.2,56.3,4.4,8.1,15.7,0,0.1,5.2,56.4,17.2,4.6,53.2,12.2,6.5,0,19.2
APR,1927,108.6,384,265.2,3.1,2.3,6.3,21.5,1.8,1.9,1.6,22.3,0.2,7.4,51.4,53.2,2.9,86.5,0,40.4,4.6,7.5,360.4,9.3,12.6,6.6,1.2,0,11.2,44.5,50.7,2,24.5,2,0.5,0.1,4.4
MAY,1927,504.1,164,238.4,52.9,15.9,40,80.1,2.5,5.7,29.7,96.7,1.9,13.9,79.1,82.6,41.7,265.4,5.5,229,9.3,0,245.2,34.4,51.6,18.1,29.8,1.9,82.5,300.4,73.7,14.3,66.8,2.2,1.6,5.4,19.1
JUN,1927,433.3,1045.4,573.9,115.9,193.3,196.4,683.4,100.1,19,67.8,227.7,139.4,12.2,37.9,27.9,92.3,720.2,785.6,181.2,184.9,173,363.8,123.9,241.8,18.6,67.8,52.5,114.3,682.1,83.1,248.3,210.2,280.2,78.3,12.4,73.4
JUL,1927,195.2,923.2,447.7,301.5,468.3,172.4,1313.2,430.4,272.9,280.5,317.4,903.3,160.9,384.7,226.2,452.5,888.2,1030.3,NA,318.7,143.5,498.4,161,454.5,226.1,98.7,442.1,249.1,518.1,65.9,266,308.9,414.7,334.2,135.7,252.6
AUG,1927,370.1,727.8,366.4,242.7,488.8,197.2,535.8,382.8,283.7,306.3,224.6,199.2,163.9,542.4,220.3,311.6,315,416.6,42,85.4,67,456.6,54.3,431.5,95.2,76.1,47.7,118.5,408.4,77.8,158.5,516.8,220.1,217.7,124.8,316
SEP,1927,126.2,1108.9,549.8,231.4,171.9,157,319.9,93.6,69.9,151.8,161.6,113.9,42.7,78,27.7,156.4,335.6,240.9,256,183.6,175.7,533.9,184.7,181,24.8,191.6,55.8,186.8,543.5,131,142.4,159.9,97.7,74.1,23.7,66.7
OCT,1927,327.5,537.2,161.2,21.5,75.2,66.1,110.5,67.1,7.7,73.4,58.6,26.2,18.1,37.9,7.6,51.4,135.8,178.8,NA,51.3,37.2,178.4,24.7,92.2,5.5,60.2,22,19.4,107.3,87.2,59.9,120.8,51.5,36.8,4.1,104.4
NOV,1927,274.1,17.8,29.8,38.6,27.8,176.5,151.3,77.7,26,72.9,3.7,18.3,1.7,5.8,4.5,15.8,137.6,87.3,NA,83.3,126.9,48.6,82.7,22.1,2.3,150.8,3.5,74.2,16.3,171.3,89,43.7,70.4,101.2,0.4,42
DEC,1927,65.5,0,0.2,0.2,0,0,0,8.4,29.3,3.9,0,14.8,32.5,19.3,40.3,0,6.8,1.6,NA,2,0.4,0.8,0,0,27.7,1,5.1,0,0.3,32.5,0,9.5,5.7,20.2,18.2,13.4
JAN,1928,50.9,48.9,8.3,41.2,6.8,0,0.1,15.7,2.9,24.9,12.8,0,21.5,129,142.9,51.4,12.7,0,42.5,0.1,0,4.3,0.5,4.6,25.6,1.3,0.6,0.6,25.5,21,0,89.5,0.2,0.4,0.4,28.6
FEB,1928,67.6,39.7,21.1,21.5,11.3,2.8,29.3,52.8,16.4,84.3,3.2,0.2,28.3,112.9,192.2,11.8,65.9,1.3,66.6,10.3,28.3,28.5,28.4,4.6,21.3,38.7,0,44.3,11.8,54.9,15.8,150.1,43.1,31.9,0.8,89.9
MAR,1928,80.7,118.2,61,0.1,8.8,1.4,21.7,9.1,0.6,0.7,1.6,0,3.4,48.1,125.9,3,51.3,0.2,NA,3.7,9.5,52.3,13.2,6.3,6.3,10.9,0,24,5.4,24,47.3,27.2,5.9,2.8,1,1.9
APR,1928,129.3,123.4,138.9,18.3,13.6,55.1,36.3,1,0.1,12.7,51.3,0,5.9,94.6,109.2,26.4,121.1,3.1,1.4,8,2,65.3,18.2,62.8,10.2,23.2,0.2,43.4,92.6,56.9,4.5,40.2,0.2,0,2,7.8
MAY,1928,499.5,431.9,446.5,54.3,16.7,31,17.1,2.5,2.2,11.7,110.9,0,3.7,14.5,18.4,48.1,81.9,1.1,212.3,0.3,0,309,20.5,68.8,2.8,22.8,0,66.1,210.8,51,27.9,18.6,2.2,2.5,2.1,8.6
JUN,1928,410.2,1168.3,420.6,208,210.1,88.7,844.6,152.7,23.4,118.4,427,51.5,36.5,82.9,46.2,313.4,590.7,657,206.9,143.3,160.5,463.2,153.6,266.7,34.9,71.9,4.8,112.1,527.8,41.1,143.9,114.5,177.8,75.6,10.2,55.9
JUL,1928,406.3,993.6,428.1,377.2,384.4,189,1108.8,475,236.7,290.8,428.1,372.7,131,276.5,115.7,396.7,420.6,1159.4,268.8,217.7,141.7,397.7,130.2,468.8,92.3,85,203.4,189.1,666.2,75.5,248.6,468,296.2,395,79.9,262.4
AUG,1928,391.5,981.2,448.2,272.9,272.7,136.4,836.6,185,187.1,112.1,325.1,220.5,77.6,329.2,177.1,213.7,553.2,939.9,174.9,159.6,135,468.3,73.4,266.1,120.2,87.5,91.8,161.7,660.9,95.2,191.6,251.4,185.2,217.6,140.4,85.1
SEP,1928,404.8,706.1,343.5,83.3,192.5,208.2,107.4,63.1,37.9,65.2,113.3,138.3,35.6,67.3,121.6,131.7,75.9,264.5,53.8,209,288.1,392.8,210.7,226.5,58.8,100.1,88.9,37.8,395.9,59.7,215.2,29.7,180.1,49.5,16.8,33.7
OCT,1928,444.5,633.5,294.8,164.3,97.8,385.9,316.4,96.6,84.2,68.6,149.9,19.6,7.6,2,1.2,183.3,321.5,137.9,124.1,62.5,58.8,272.5,102.6,208,1,202.4,26.9,229.7,255.3,219,104.1,6.3,108.5,66.9,14.7,43.2
NOV,1928,99.5,25.6,21.6,0.9,0,2.2,12,0,10.4,0.3,1.7,16.4,20.3,59.9,102.4,0.1,155.2,7.7,116.3,3.1,0,18.4,0.3,1.7,27,37,10.3,28.9,14.9,173.8,0,17.4,0.1,1.6,3.3,8.6
DEC,1928,13.5,2.3,1.5,7.6,4.4,0.7,9.3,53.5,6.4,15.1,0.1,1.8,16.8,91.9,138.3,4.4,52.7,0.4,139.3,14.1,1.7,0.1,17,0.6,36.9,30.4,0,12.7,1.9,98.8,7.4,28.9,17.8,51.9,0.5,18.9
JAN,1929,74.2,144.8,83.9,51.6,23.1,2.7,1.9,30,3.6,42.4,42.8,1.9,15.2,109,121.2,63.9,12.8,1,6.1,1,0,38.3,2,18,8.9,11,5.1,4.7,49.7,20.4,5.3,52.9,3.8,6.3,2.3,26.3
FEB,1929,118.4,59.2,3.8,1.1,28.9,37.4,0.2,17.4,1.5,1.4,13.2,0,0.1,52.3,66.4,15.2,29.8,0,66.6,6.4,31.6,7.7,24.9,18.8,1.1,10.3,0,13.7,2,29.2,64.8,33.2,52.6,8.8,0,2.5
MAR,1929,129.2,124.3,84.1,11.4,1.2,1.5,2.5,0.2,0,13,38.8,0,0,17.6,40.3,12.7,58.9,3.2,49.5,2,0.9,48,2.7,4.5,0,0.2,0,1.9,37.9,9.4,0,16.9,0.7,0.1,0,1.9
APR,1929,69.8,492.3,321.7,16.2,14.4,19.7,105.6,11.2,4,1.7,41.8,5.5,9.5,48,53,11.4,210.7,14.9,91,37.1,21.6,242.7,49,25,11.5,35.4,3.1,127.7,126.4,107.3,21.7,21.7,11.8,4.8,1.8,5.7
MAY,1929,316.6,615.8,570.2,33.1,5.6,41,114.7,1.7,6.9,6.6,52.5,0.9,3.7,24.9,42.6,29.5,148,6.2,248,6.4,1.7,433,37.8,37.8,1.7,31.1,0.5,101.3,235,50.7,2.8,20.6,0.7,0.7,12.2,1.5
JUN,1929,588.8,853,643.4,190.2,216.2,190,1361.6,94.3,50.9,163.7,208.1,123.6,18.7,101.7,60,111.4,946.6,773.8,259.3,155.9,165.8,859.1,105.6,193.4,45.6,66.6,39.6,149.7,594,63.2,146,138.7,170.9,108.5,11.1,83
JUL,1929,134,614.4,385,328.8,597.9,78.3,901.3,524.9,270.8,286.7,398.6,353.7,135.2,363.9,182.6,541.7,844,767.6,452.7,168.2,104.7,385,67.4,525,163.3,36.6,268.4,178.6,554.5,48.9,115,279.7,263.5,288,163.5,210.7
AUG,1929,644.7,670,333.2,326.3,461.1,138.4,566.9,399.2,194,354.6,297.3,150.7,82.8,423.7,266.7,412.2,293.9,516,34.2,73.7,48.2,371.4,33,423.4,111.6,45.7,63.2,88.8,392.6,70.7,142.2,403.2,157.4,215.5,103.8,234.7
SEP,1929,172.9,384.3,292.8,124.7,179.2,146.3,265.2,103,34.4,48.5,168.3,20.6,11.4,50.3,20.9,124.6,268.9,250.9,186.3,151.6,179,314.8,167.2,190.9,8.5,165.7,11.5,186,400.9,135.1,232.5,65.2,193.1,88.8,3.9,32.7
OCT,1929,413,188,196,231.4,94.3,173.1,281.9,17.7,0.6,53.3,264.6,7.2,3.8,57.3,60.4,236.4,350.4,152.4,100.2,82.5,51.7,121.7,91.3,185.7,10.2,146.5,7.7,100.9,513.5,161.2,35.9,44.5,28.2,1.6,0.3,18.4
NOV,1929,251.5,64.5,17.6,0,0,5.3,61.4,0,0,0,0,0.6,0,0,2,0,158.2,11.2,NA,3.4,0,11.3,16,0,0,109.4,1.3,76.5,10.5,192,0,0,0,0,0,0.8
DEC,1929,13.5,109.5,22.1,44.4,41.9,25.4,0.2,47.9,9.1,43,31.4,11.6,26.2,176,186.6,52.5,39.4,12.1,28.8,2.2,4.2,26.4,1.2,15.3,60.6,38.2,21.3,5.2,14.3,89.6,24.5,135.5,29.8,5.5,4.4,32.2
JAN,1930,87.4,64.4,18,11.6,0,0.5,1.2,2.1,16.7,11.3,1.8,2,28.4,98.8,201.8,0.9,10.8,0,14,0,0,22.6,0,0.2,25.6,15.6,4.8,5.2,17.6,53.6,0,65.7,0,3,2.5,23.8
FEB,1930,105.4,84.3,41,7.6,4,32.4,0.2,3.5,1,16.8,12.1,0.2,11.4,64.1,116.1,4.3,10.8,0.2,24.6,0,1,53.6,0.3,12.1,27,33.9,0.5,6.6,19.9,60.3,14.7,72.7,5.3,0.3,1.2,18.3
MAR,1930,131.2,202.5,99.8,13.6,13.5,6.6,0,3,0.2,5.2,19.9,0.2,4,52.7,114.6,7.7,39,0.1,14.2,0.7,1.7,107.5,3.1,9.9,6.7,8.3,0,10.8,51.7,21.4,5.4,52.1,1.2,0,0.7,0.6
APR,1930,10.9,565.4,199.4,6.6,43.3,23.2,19.3,31.3,0.4,3.5,18.6,0.1,1.8,87.7,209.2,18.1,102.7,0.3,0,3.2,13,161,9.5,33.4,13.3,7.6,0.1,27,61.3,34.4,13.5,34.8,27.4,2.2,1.8,2.6
MAY,1930,231.5,148.9,209.8,28.6,7.9,117.3,171.5,6.9,22.2,6.1,86.3,1.1,3.4,28.2,53.1,16.5,404.9,12.5,110.6,29.8,4.1,223.1,56.2,38,7.1,169.6,1.8,156.8,192.3,165.7,1.7,39.6,4.4,5.1,16.7,4.3
JUN,1930,533.6,720.9,686.9,144.6,190.9,189.6,910.9,134,72.7,54.2,186.9,160.2,68.6,120.8,55.1,125.5,633.1,1024.9,277.5,178.1,132.2,506.6,94.1,177.5,55,98.1,124.1,126.9,495.1,68.9,184.9,126.5,181.3,96.4,47.1,64
JUL,1930,317.9,376.2,287.8,298.2,517.4,112.4,706.8,597.9,296.9,367,410.7,426,266.5,424.5,211,506.8,401.7,690.5,115.5,233.7,49.6,438.2,61,357.5,258.4,45.6,225,117.2,346.1,38.9,131.1,399.7,252.9,392.8,100.3,369.6
AUG,1930,446.7,1055.5,438.5,247.8,285,133,420.8,268.4,158.7,265,307.3,152.9,78.4,307,105.9,361.4,273.4,427.3,186.4,106.5,75.7,385.6,61.1,333.7,57.4,33.1,38.2,85.5,475.8,66.7,144.7,348.3,194.4,183.5,45.2,219.7
SEP,1930,677.2,637,299.1,290.9,185.3,136.7,401.2,109.2,40.4,284.8,200.1,102.8,32.3,77.7,49,222.8,411.5,542.6,193,247,281,256.7,189.4,287.5,91.7,137.3,38.5,150.5,329.6,94.2,215.6,76.5,233.2,167.1,8.1,50.4
OCT,1930,82.3,361.1,149.9,30.4,37.3,284.1,254.1,33.9,51.9,38.6,41.1,48.2,2.8,13,43.7,44.5,433.9,136.2,170.6,87.4,64.6,100.8,130.8,50.5,1.1,245.8,17.1,253.9,140.4,436.1,60,21.6,44.8,36.9,6.3,30.9
NOV,1930,249.4,93.2,114.4,24,93.9,181.9,14.2,5.2,0.1,3.5,95.1,0,0.9,5.2,0.9,121.1,207,10.6,79.6,37.7,17.1,230.7,22.8,143.1,0.2,156.6,0,40.9,52,186.5,64.3,8.1,36.3,0.6,0.1,0.2
DEC,1930,201.6,24.9,6.2,10.4,5.1,5.1,12.6,8.5,0,13.4,1.1,0.9,2.1,25.7,7.6,4.4,89.2,0.6,72.4,5,0.3,1,4.3,2.7,13.9,44,0.1,12.1,2.4,48.7,0,25.6,1.9,0.3,0,4
JAN,1931,25.3,61.3,7.6,1.3,8.4,0.5,0,13.7,0.4,0.5,2.2,0,0.4,58.5,124.7,7,3.3,0,NA,0,0,2.7,0,7.4,12.6,0.2,0.2,0,2.8,22.7,0.3,7.8,4,2.2,0.1,0.5
FEB,1931,0,189.7,29.2,32.4,64.4,0.4,0,29.5,2.2,27.4,74.6,0.1,17,149.6,142.4,116.9,0.3,0,0,0,0,53,0.1,36.8,27.1,0,0.6,0,9.7,0,5.1,89.9,4.6,1.4,1.1,25.9
MAR,1931,2.5,231.6,47.6,11.4,14.5,5.2,2.4,9,2.2,1.8,27.1,0,14.2,79.9,47.1,18,19.2,0.1,0,0.6,3.8,59.6,4.5,20.7,21.1,2.1,0,3,28.2,3.3,4,45.1,11.6,0.4,1.3,6.3
APR,1931,2.5,502.7,294.7,1.6,10.6,8.8,33.4,3.3,0.1,0.2,22.7,0,0.3,14.6,35.5,2.2,126.9,1.7,28.5,14,4.4,109.9,30.6,18.6,2,8.9,0.1,45.7,98.6,55.6,13.3,1.9,5.6,0.1,0,0.4
MAY,1931,205.4,277.7,374,27.5,14.6,46.9,85.1,3.2,9.8,8.6,111.5,1.7,7.8,84.5,109,37.1,131.7,1.8,194.6,2.9,7.7,360.6,33.1,44.3,19.4,53.9,3.1,81.7,296.3,54.2,25.9,56.9,3.1,1.5,12.1,6.3
JUN,1931,393.5,1149.4,605.6,75.9,104.6,142.2,673.4,69.6,11.5,36.8,157.2,18.4,11.1,25,11.1,109,541.7,344.9,262,109.7,134.5,388.8,114.1,108,9.5,92,8.1,116.8,523.7,40.8,187.3,55,103.3,48.2,10.2,16.2
JUL,1931,289.3,1399.9,654.6,441.3,359.1,177.7,1244,294.5,224.5,297,368.5,332.5,198.7,263.6,205,357,653.9,1867.2,290.4,316.3,295.1,520,134.9,239.9,183.8,101.2,115,188.2,793.8,77.3,368.6,319.1,380.6,281.6,73.5,217
AUG,1931,571,337.7,282,218.8,510.8,120.5,1201.9,458.1,401.4,240.2,286.7,546.3,122.5,339.6,192.6,355.2,1199.2,944.9,347.9,233.5,142.8,300.4,70.1,511,222.1,32.1,119.2,246,408.7,81.7,155.9,307.2,390.7,424.1,270.7,224.3
SEP,1931,294.4,480.7,330.2,248.2,169.3,231.7,255.6,290.9,60.4,332,197,86.4,109.5,202.5,30.4,201.2,163.2,307.1,167.1,178.9,242.1,364.1,195.1,197,68.8,137,20.8,144.6,585.3,104.7,288.1,335.3,232.9,226,9.3,349.5
OCT,1931,368.3,157.4,136.7,76.1,156.3,388.8,183.5,151.6,60.5,102.3,168.3,113.6,37.4,47.8,43.9,112.7,149.3,458.9,102,180.9,175.1,209.9,51.7,233.4,21.8,135.7,60.1,42.7,112.1,120.3,107.4,105.8,225.1,132.1,16.8,84
NOV,1931,22.8,37.8,21.6,11.2,54.1,164,106.7,16.2,0.3,0.2,59,4.2,0,0.2,7.9,33.4,164.3,51.5,118.3,70.2,70.1,69.2,65.6,59.5,0,92.4,2.5,117.5,12.7,183.4,25.5,6.8,40.2,10.4,0,0.2
DEC,1931,182.7,46.2,16.3,0.7,0.2,0.3,56.5,2.6,1.1,0.1,0.9,1.3,0.1,0.6,5.3,0.8,106.5,21.2,96.1,25.3,13.1,23,19.4,0.4,0.5,63.6,0,26.3,4.5,295.8,1.6,3.4,2.4,3.7,0.2,0.2
JAN,1932,2.8,70.2,14.9,0,0,0,0,0,0.3,0,0,0,3,43,99.4,0,0.1,0.5,0,0,0,6.1,0,0.2,19,0,0,0,3,0.7,0,1.9,0,0,0.7,0
FEB,1932,2.5,110.3,36.7,8.2,22.9,53.2,0,22.5,0.6,5.5,12.9,0,2,52.8,102.7,32.8,19.3,0,0.2,0.5,2.5,69.7,1.9,34,13.2,17.2,0,10.4,7,31.9,40.3,18.5,27.4,2.9,0.2,4.2
MAR,1932,10.1,105.5,59.1,0.5,3.7,0.1,0,13.9,14,2.2,5.1,0.8,26.2,62.1,122.7,4,28.6,0,4.8,8.6,7.7,99.1,0.6,9.9,28.8,0,0,0.5,8.6,7.3,1.3,34.3,12.9,12.7,6.3,13
APR,1932,58.2,282.7,163.2,14.8,9.5,20.8,25.4,2.4,5.4,1.4,31.9,0.4,4.8,17.1,32.8,15,113,2.9,0.4,22.3,7.7,162.2,24.8,26.9,7.3,12.1,0,35.8,72.4,62.9,17.6,12.8,3.4,2.6,1.8,4.2
MAY,1932,479.7,661.6,488.6,26.6,18.8,47.2,255.4,6.3,3.9,7.6,196.6,0.4,6.1,61.4,87.1,45.8,646.5,45.9,372.6,27.3,20.1,323.6,46.5,67.4,11.6,50.8,0.3,155.8,255.9,109.6,25.8,27,10.3,1.8,4.4,2.9
JUN,1932,NA,1065.2,628.5,152.1,109.6,79.6,661.5,105.1,21.7,89.4,151.1,57.9,14.3,54.6,58.6,96.5,341,435.3,239.4,67.3,111.5,600.7,49.9,116.5,19.9,59.7,16.1,72.4,731.3,43,119.7,95.7,154.2,57,10.8,24.3
JUL,1932,NA,521.2,454.6,164.3,525.2,203.3,1072.4,534.5,219,170.1,297.5,540,136.8,409.2,255,374.1,716.4,1248.1,435,351.7,276.6,491.2,165.3,474.7,190.7,72.4,384.1,262.9,363.5,56.5,300.4,343.5,526.6,467,118.6,175.3
AUG,1932,NA,907.8,467.3,249.3,300.9,122.3,457.2,198,187.1,287.4,259.6,146.6,113.4,451.3,174.1,297.8,423.2,485.6,286.7,221.3,161.3,402.4,160.4,271,136.1,128.6,38.5,264.3,582.9,163.5,179,438.9,176.7,128.3,115.5,178.7
SEP,1932,NA,682.9,355.8,191.2,272.6,147.8,469.9,242.8,88.9,125.7,177.7,129.2,117.5,183.1,11.5,221.1,317.3,456.2,63.5,162.8,161.6,376.2,113.9,246.3,32,77.6,18.4,117.1,380.1,61.6,172.9,326.9,183.8,289.8,6.2,286.7
OCT,1932,NA,152.2,108.4,32.4,56.4,117.2,348.7,22.5,2.3,16.8,64.2,30.1,0,6.1,9.9,50.2,543.2,259.1,256.3,148.4,54.6,80.4,146.8,57.3,1.5,92.6,35,227,154.4,247.4,32,6.3,25.6,24.8,0,0.1
NOV,1932,NA,231.4,90.9,78.7,37.6,180,125.6,3.1,0,29.5,110.2,0.9,0,9.5,1.6,55.5,223.2,21.1,178.1,30.8,34.3,145.9,98.5,136,0.3,108.6,0,122.4,132.1,246.9,60.9,5.5,9.7,1.4,0,8.6
DEC,1932,NA,59.9,20.6,8.9,0.2,0.1,7.3,0,0.6,2.9,0,0.3,15.8,68.4,84,0.9,31.3,8.2,56.7,4,6.3,4.3,0.1,0,29.9,16.2,0,1.6,24.4,78.5,0,58.4,0,0,0.6,7.9
JAN,1933,4.5,56,10.3,28.3,31.6,4.1,0,8.4,0.3,14.8,16.3,0,1.1,60.2,104,61.2,1,0,6.1,1.4,9.1,2.5,0.1,17.8,6.2,0,0,0,16.5,2.7,12.9,51.7,4.8,0.2,0,5.5
FEB,1933,11.7,59.4,29,13.1,75.9,0,0.1,44,5.8,18.5,53.3,3.4,19.5,93.6,137.4,58.7,9.3,0.1,34.5,0.5,7.6,19.7,2.8,57.4,26.4,1.7,4.5,2.9,9.4,5,17.4,67.2,38.3,5,7.6,14.7
MAR,1933,8.1,101.6,16.7,0.7,14.9,6.8,5.4,18.8,1.5,2.9,3.7,0.7,10.8,109.4,187.1,8.9,36.9,1.6,16.5,3.4,10.1,34.3,13.6,7.9,35.7,9.4,1.2,10.5,0.5,41.2,15.7,23.4,9.1,2.1,4,6
APR,1933,58.4,267.9,214.4,62.1,21.9,23.3,60.6,29.5,22.3,37,75.6,3.5,6.7,80.2,107.2,37,139.5,15.3,44.5,8.5,13.5,167,50.1,25.5,7.2,14.8,11.4,43.8,112.4,52.5,25,52.6,20.5,11.7,13,19.6
MAY,1933,365.4,435.3,286.7,90.3,97.3,88,360.3,74.2,30.1,46.8,171.6,44.3,43.2,54.7,31.1,94,738.8,129.2,660.8,76.5,66.7,298.4,84.1,136.5,25.7,47.7,103.9,176,206,105.3,63.4,89.4,64.6,36.7,15.3,33.3
JUN,1933,544.2,782.1,477.2,197,310.7,106,1031.9,143.8,209.1,128,326.3,118.3,105.1,106,63.7,218.1,859.3,816.5,200.3,182.3,206.6,463.4,113.2,288.6,37.1,23.5,59.6,139.9,565.3,36.9,332,227,244.6,196.5,46.4,239
JUL,1933,376.6,743.2,427.1,377.3,388.9,187.1,1326.6,360.6,170.7,223.7,384.9,241.3,131.4,259.3,175.2,366.8,773.4,909,366,194.7,214.7,476.3,131.6,404.8,180,74.8,220.1,216.8,653.3,60.7,243.4,466.8,353.7,276.9,46.1,205.5
AUG,1933,294.1,685.2,501.7,377.8,368.3,135.6,481.3,321.1,284.9,247.3,420.8,473.6,227.3,244.2,217.7,397.3,479.5,758.6,334.8,259.4,180.4,603.5,158.9,448.6,327.3,181.7,242,241.6,512.3,169.9,226.7,337.3,365.4,351.8,211.3,224
SEP,1933,759,376.1,243.1,167.8,286.5,193,502.5,294.4,185.6,158.1,266.9,227.5,293.1,172.7,101.9,209.6,469.7,485.8,390,286.1,340.8,259.6,149.4,294.7,202.7,56.3,107,195.1,284.1,104.5,262.2,151.2,301.7,288.1,31.9,199.6
OCT,1933,239.8,217.9,122.1,77.6,41.4,251.3,292.8,61.4,13.4,100.5,144.8,15.1,17,49.1,48.1,74.5,397,179.7,157.9,93.3,30.7,113.4,160.7,138.1,8.4,124.6,5.9,236.6,149.3,201.8,128.9,128,75.1,22.7,0.5,85.9
NOV,1933,268.8,40.6,8.1,0.3,7.9,67.3,42.3,8.9,12.3,0,2.1,1.4,0.4,8.2,12.2,4.1,126.1,19.2,85.1,24,17.5,9.6,52.3,20,2.9,42,2.2,19.2,3.9,124.5,24,0,8.4,11.4,0.1,1
DEC,1933,56.9,8.1,2.7,0.3,5.5,24.8,35.6,3.3,1.9,0,0.8,7.9,1.3,2.8,2.1,5.5,42.3,28.4,17.6,22.3,25.2,4.1,30.4,11.1,0.9,101.7,0.2,46.6,1.1,105.9,44.5,1.2,16,8.5,0,1.4
JAN,1934,7.3,84.9,18.5,30.1,1.8,0,7.4,15.9,4.5,33.7,5.5,0.1,21.6,91.8,110.1,24,74.5,0.7,122.3,3.7,6,16,1.2,0.1,18.3,21.5,0,5.9,10.5,99.8,0.1,66.3,2.2,7,0.8,28.1
FEB,1934,172.9,88.3,68.2,13.7,0,0.2,0.6,0.1,0,1.6,19.6,0,1,12.8,27.2,10.3,1.7,0,5.7,0,0,135.1,0,1.4,1.7,0,0,0.4,60.2,0.1,0,10.4,0,0,0,1.8
MAR,1934,6.9,128.3,27.1,3,1.5,0.6,1,10.5,13.3,12.5,0.6,0.7,47.6,40.3,71.1,1.8,47.7,0.3,5.1,1.9,0,57.1,0.3,4.2,37.5,0,0.6,1.1,0.4,11.6,0.1,21,0.3,6,8.2,27.7
APR,1934,131.4,595.1,301.2,9.1,11.5,19.9,16,2.2,0.3,1,39.9,0.3,0.7,82.3,96.8,13.1,92.4,2.7,30.8,7.3,11.9,191.1,29.5,11,2.4,23.2,0.1,40.9,86.8,34.6,18.3,8.6,8.5,0.8,0.2,1
MAY,1934,62,454.5,444.6,22,0,21.7,24.4,0.2,0.2,1.5,58.6,0,2,59.9,36.2,13.6,106.7,0.7,37.4,8,1.3,313.2,9.9,21,6,29.3,0,52.6,227.5,49.6,1.2,20.6,0.3,0.1,1.6,0.9
